#{#productions	timeGreen(ms)	timePthreads(ms)
	1000		10215		8308
	2000		20068		53333
	3000		19932		66703
	4000		28541		101805
	5000		28472		119369
	6000		35013		152397
	7000		38295		167599
	8000		43926		196386
	9000		58660		202763
	10000		68502		238206
	11000		78891		275840
	12000		81810		276302
	13000		93748		312032
	14000		93883		84860
	15000		99359		359863
	16000		111233		90245
	17000		134468		427829
	18000		150619		110944
	19000		141862		486539
	20000		135159		113280
	21000		147118		527582
	22000		183647		255826
	23000		172797		130308
	24000		167908		566081
	25000		165334		144018
	26000		206881		632404
	27000		197567		148381
	28000		198098		661415
	29000		197606		158103
	30000		210987		177282
	31000		234198		715137
	32000		212907		181543
	33000		216038		809877
	34000		223177		198610
	35000		264048		802445
	36000		269257		202223
	37000		244086		862460
	38000		244095		215823
	39000		261036		917226
	40000		282577		229122
	41000		281993		950105
	42000		292294		935262
	43000		295444		651249
	44000		329118		304158
	45000		304426		1183605
	46000		366059		267459
	47000		298177		1093747
	48000		295033		262769
	49000		307930		1139928
	50000		306713		357550
